group,task,factual_weight,language_weight,deductive_weight,inside_core_triangle
agieval,agieval_aqua_rat,0.06459875847166874,0.5151051949507435,0.42029604657758773,True
agieval,agieval_gaokao_biology,0.6436423100796994,0.17989857659262903,0.17645911332767156,True
agieval,agieval_gaokao_chemistry,0.5923985265778584,0.1678317455262938,0.23976972789584786,True
agieval,agieval_gaokao_chinese,0.15379946921136745,0.6133854922010467,0.23281503858758593,True
agieval,agieval_gaokao_english,0.03806456138160308,0.8752476691576264,0.08668776946077046,True
agieval,agieval_gaokao_geography,0.4887314975994532,0.3096282493901498,0.20164025301039695,True
agieval,agieval_gaokao_history,0.78980743378173,0.1699285690167351,0.04026399720153488,True
agieval,agieval_gaokao_mathcloze,0.15764487556011653,0.3883334302930136,0.45402169414686994,True
agieval,agieval_gaokao_mathqa,0.17754019694443968,0.39766028134191533,0.424799521713645,True
agieval,agieval_gaokao_physics,0.3144899044691756,0.27559757493312637,0.40991252059769806,True
agieval,agieval_jec_qa_ca,0.5476148032821707,0.2151522830673635,0.2372329136504658,True
agieval,agieval_jec_qa_kd,0.7725068299715672,0.16175335099006793,0.0657398190383649,True
agieval,agieval_logiqa_en,0.06828159854853522,0.42356946654563277,0.508148934905832,True
agieval,agieval_logiqa_zh,0.0631737824461116,0.3864657536121551,0.5503604639417333,True
agieval,agieval_lsat_ar,0.03257114162647656,0.28708965422509636,0.6803392041484271,True
agieval,agieval_lsat_lr,0.06095233489374041,0.469857559553718,0.46919010555254165,True
agieval,agieval_lsat_rc,0.07230713867594152,0.6275307963068208,0.3001620650172376,True
agieval,agieval_sat_en,0.055671514417987567,0.7339983448606158,0.21033014072139666,True
agieval,agieval_sat_en_without_passage,0.6902415322545016,0.23431090816208894,0.07544755958340947,True
agieval,agieval_sat_math,0.10255792567636901,0.5194841297923312,0.3779579445312998,True
bbh,bbh_zeroshot_boolean_expressions,0.010225626808974653,0.10899392461664739,0.880780448574378,True
bbh,bbh_zeroshot_causal_judgement,0.0797977692034848,0.48937894829853024,0.43082328249798496,True
bbh,bbh_zeroshot_date_understanding,0.19986146996474552,0.44311092409914543,0.35702760593610905,True
